,set,p,ba,c,theta,skew,gamma,loss,stfr,resit,gcm,crt,cpt,rbpt,rbpt2
232,type1_1,10,11,0.0,0.0,0,0.006666666666666667,mse,0.1625,0.1625,0.1625,,,0.0,0.0375
233,type1_1,10,11,0.0,0.0,0,0.013333333333333334,mse,0.2625,0.7,0.7,,,0.0,0.0625
234,type1_1,10,11,0.0,0.0,0,0.02,mse,0.5625,0.9,0.8,,,0.0,0.025
235,type1_1,10,11,0.0,0.0,0,0.02666666666666667,mse,0.8,1.0,0.9,,,0.0,0.025
236,type1_1,10,11,0.0,0.0,0,0.03333333333333333,mse,0.9,1.0,0.9,,,0.0,0.0625
237,type1_1,10,11,0.0,0.0,0,0.04,mse,0.9,1.0,0.9,,,0.0,0.0625
238,type1_2,10,11,0.0,0.0,0,0.0,mse,,,,0.0,0.0,0.0,
239,type1_2,10,11,0.0,1.0,0,0.0,mse,,,,0.0,0.0,0.0,
240,type1_2,10,11,0.0,2.0,0,0.0,mse,,,,0.2,0.0,0.0,
241,type1_2,10,11,0.0,3.0,0,0.0,mse,,,,0.5375,0.0,0.1,
242,type1_2,10,11,0.0,4.0,0,0.0,mse,,,,0.5375,0.0,0.1,
243,type1_2,10,11,0.0,5.0,0,0.0,mse,,,,0.5375,0.0,0.1,
244,type1_2,10,11,0.0,6.0,0,0.0,mse,,,,0.5375,0.0,0.1,
245,power,10,11,0.0,0.0,0,0.0,mse,,,,,0.1,0.0,0.0
246,power,10,11,0.08333333333333333,0.0,0,0.0,mse,,,,,0.1625,0.1,0.3
247,power,10,11,0.16666666666666666,0.0,0,0.0,mse,,,,,0.3,0.4,0.5
248,power,10,11,0.25,0.0,0,0.0,mse,,,,,0.7,0.4,0.7
249,power,10,11,0.3333333333333333,0.0,0,0.0,mse,,,,,0.9,0.5,0.8
250,power,10,11,0.41666666666666663,0.0,0,0.0,mse,,,,,1.0,0.7,1.0
251,power,10,11,0.5,0.0,0,0.0,mse,,,,,1.0,1.0,1.0
252,type1_1,10,12,0.0,0.0,0,0.0,mse,0.0,0.0,0.0,,,0.0,0.0
253,type1_1,10,12,0.0,0.0,0,0.006666666666666667,mse,0.025,0.0,0.025,,,0.0,0.1
254,type1_1,10,12,0.0,0.0,0,0.013333333333333334,mse,0.125,0.225,0.225,,,0.0,0.1
255,type1_1,10,12,0.0,0.0,0,0.02,mse,0.325,0.5,0.4625,,,0.0,0.1
256,type1_1,10,12,0.0,0.0,0,0.02666666666666667,mse,0.3625,0.8,0.6625,,,0.0,0.1
257,type1_1,10,12,0.0,0.0,0,0.03333333333333333,mse,0.6625,0.8,1.0,,,0.0,0.0
258,type1_1,10,12,0.0,0.0,0,0.04,mse,0.7625,0.9,1.0,,,0.0,0.0
259,type1_2,10,12,0.0,0.0,0,0.0,mse,,,,0.0,0.1,0.0,
260,type1_2,10,12,0.0,1.0,0,0.0,mse,,,,0.1,0.1,0.0,
261,type1_2,10,12,0.0,2.0,0,0.0,mse,,,,0.3375,0.1,0.0,
262,type1_2,10,12,0.0,3.0,0,0.0,mse,,,,0.675,0.1,0.0,
263,type1_2,10,12,0.0,4.0,0,0.0,mse,,,,0.675,0.1,0.0,
264,type1_2,10,12,0.0,5.0,0,0.0,mse,,,,0.675,0.1,0.0,
265,type1_2,10,12,0.0,6.0,0,0.0,mse,,,,0.675,0.1,0.0,
266,power,10,12,0.0,0.0,0,0.0,mse,,,,,0.0375,0.025,0.0
267,power,10,12,0.08333333333333333,0.0,0,0.0,mse,,,,,0.1625,0.0625,0.2
268,power,10,12,0.16666666666666666,0.0,0,0.0,mse,,,,,0.4625,0.4,0.4
269,power,10,12,0.25,0.0,0,0.0,mse,,,,,0.8625,0.4,0.5
270,power,10,12,0.3333333333333333,0.0,0,0.0,mse,,,,,1.0,0.5,0.9
271,power,10,12,0.41666666666666663,0.0,0,0.0,mse,,,,,1.0,0.7,0.9
272,power,10,12,0.5,0.0,0,0.0,mse,,,,,1.0,1.0,1.0
273,type1_1,10,13,0.0,0.0,0,0.0,mse,0.0,0.1,0.0,,,0.0,0.1
274,type1_1,10,13,0.0,0.0,0,0.006666666666666667,mse,0.2375,0.5625,0.4375,,,0.0,0.0375
275,type1_1,10,13,0.0,0.0,0,0.013333333333333334,mse,0.6375,1.0,0.6625,,,0.0,0.0375
276,type1_1,10,13,0.0,0.0,0,0.02,mse,0.6625,1.0,0.8625,,,0.0,0.0375
277,type1_1,10,13,0.0,0.0,0,0.02666666666666667,mse,0.8625,1.0,0.8625,,,0.0,0.0375
278,type1_1,10,13,0.0,0.0,0,0.03333333333333333,mse,0.9,1.0,0.9,,,0.0,0.0375
279,type1_1,10,13,0.0,0.0,0,0.04,mse,1.0,1.0,0.9,,,0.0,0.0375
280,type1_2,10,13,0.0,0.0,0,0.0,mse,,,,0.0,0.0,0.0,
281,type1_2,10,13,0.0,1.0,0,0.0,mse,,,,0.0,0.0,0.0,
